25 248
0 2 0.67
0 3 0.59
0 4 0.62
0 5 0.53
0 7 0.47
0 8 0.68
0 9 0.48
0 10 0.7
0 11 0.37
0 12 0.63
0 13 0.58
0 14 0.53
0 15 0.32
0 16 0.45
0 17 0.55
0 18 0.4
0 19 0.34
0 20 0.43
0 21 0.44
0 22 0.69
0 23 0.36
1 2 0.39
1 3 0.42
1 5 0.53
1 6 0.62
1 7 0.65
1 8 0.51
1 9 0.56
1 10 0.53
1 11 0.54
1 12 0.69
1 13 0.43
1 14 0.41
1 15 0.53
1 16 0.62
1 17 0.68
1 18 0.67
1 19 0.65
1 20 0.62
1 21 0.36
1 22 0.55
1 23 0.36
1 24 0.58
2 3 0.37
2 4 0.39
2 5 0.42
2 6 0.38
2 7 0.39
2 8 0.45
2 9 0.58
2 10 0.59
2 14 0.5
2 17 0.63
2 18 0.57
2 19 0.54
2 20 0.52
2 21 0.36
2 22 0.51
2 23 0.57
2 24 0.47
3 4 0.64
3 5 0.52
3 6 0.34
3 7 0.55
3 8 0.57
3 9 0.42
3 10 0.36
3 12 0.46
3 13 0.7
3 14 0.63
3 15 0.63
3 16 0.51
3 18 0.4
3 19 0.59
3 20 0.49
3 22 0.43
3 23 0.55
3 24 0.68
4 5 0.63
4 6 0.44
4 8 0.63
4 9 0.46
4 10 0.66
4 11 0.68
4 12 0.35
4 13 0.32
4 14 0.63
4 16 0.64
4 17 0.42
4 18 0.55
4 19 0.6
4 20 0.32
4 22 0.59
4 23 0.45
4 24 0.56
5 6 0.5
5 7 0.31
5 9 0.45
5 10 0.34
5 11 0.6
5 12 0.53
5 13 0.54
5 15 0.44
5 16 0.41
5 17 0.34
5 18 0.5
5 21 0.31
5 22 0.41
5 24 0.55
6 8 0.6
6 9 0.51
6 11 0.53
6 12 0.32
6 13 0.49
6 14 0.37
6 15 0.39
6 16 0.4
6 18 0.4
6 20 0.37
6 21 0.52
6 22 0.34
6 23 0.6
6 24 0.63
7 8 0.33
7 10 0.44
7 11 0.47
7 13 0.37
7 16 0.57
7 17 0.56
7 18 0.55
7 21 0.56
7 22 0.47
7 23 0.36
7 24 0.33
8 9 0.42
8 10 0.67
8 11 0.33
8 12 0.43
8 14 0.35
8 15 0.66
8 16 0.41
8 17 0.33
8 18 0.41
8 19 0.38
8 20 0.65
8 21 0.51
8 22 0.39
8 24 0.62
9 10 0.33
9 12 0.55
9 14 0.34
9 15 0.67
9 17 0.56
9 18 0.54
9 19 0.35
9 21 0.67
9 22 0.52
9 23 0.42
9 24 0.36
10 12 0.41
10 13 0.52
10 14 0.34
10 15 0.33
10 16 0.36
10 17 0.52
10 18 0.45
10 19 0.64
10 20 0.58
10 21 0.59
10 23 0.37
10 24 0.64
11 12 0.64
11 13 0.62
11 14 0.42
11 15 0.67
11 16 0.6
11 17 0.36
11 18 0.7
11 19 0.56
11 20 0.35
11 21 0.36
11 22 0.66
11 23 0.38
11 24 0.53
12 13 0.57
12 14 0.62
12 15 0.34
12 16 0.68
12 17 0.32
12 19 0.32
12 20 0.57
12 22 0.62
12 23 0.41
12 24 0.4
13 14 0.41
13 15 0.48
13 16 0.56
13 17 0.64
13 18 0.63
13 19 0.3
13 21 0.64
13 22 0.46
13 23 0.53
13 24 0.64
14 15 0.35
14 16 0.58
14 17 0.61
14 18 0.55
14 19 0.6
14 20 0.51
14 21 0.52
14 24 0.3
15 17 0.62
15 18 0.46
15 20 0.53
15 21 0.36
15 22 0.35
15 23 0.5
15 24 0.43
16 18 0.62
16 19 0.47
16 20 0.36
16 21 0.47
16 22 0.55
16 24 0.41
17 19 0.68
17 21 0.61
17 22 0.68
17 24 0.55
18 19 0.68
18 21 0.54
18 22 0.34
18 23 0.57
18 24 0.43
19 20 0.32
19 21 0.52
19 22 0.5
19 23 0.48
19 24 0.34
20 21 0.46
20 22 0.64
20 23 0.51
20 24 0.38
21 22 0.67
21 24 0.69
22 23 0.31
22 24 0.62
23 24 0.69
