500 3814
0 19 0.5905
0 23 0.666136
0 25 0.53773
0 28 0.506143
0 34 0.69006
0 41 0.564624
0 58 0.511461
0 65 0.615397
0 67 0.32964
0 69 0.43194
0 78 0.533498
0 96 0.312389
0 221 0.671437
0 224 0.307901
0 358 0.611749
0 388 0.434418
0 449 0.43701
0 478 0.465928
1 5 0.662925
1 35 0.560592
1 45 0.528252
1 62 0.303131
1 64 0.414781
1 67 0.591826
1 81 0.58096
1 86 0.481182
1 87 0.389483
1 102 0.648827
1 327 0.58698
1 441 0.654183
1 461 0.434543
1 480 0.568571
1 491 0.542209
2 21 0.326662
2 27 0.607297
2 31 0.630747
2 35 0.357942
2 36 0.300954
2 42 0.49755
2 48 0.338802
2 51 0.576942
2 61 0.550024
2 91 0.60199
2 95 0.484719
2 104 0.610986
2 153 0.600635
2 313 0.690507
2 325 0.371184
2 402 0.479821
2 493 0.634169
3 5 0.53047
3 16 0.459916
3 18 0.616718
3 21 0.496804
3 26 0.516982
3 27 0.595718
3 34 0.350055
3 52 0.351581
3 66 0.60629
3 82 0.476959
3 84 0.383306
3 88 0.65511
3 91 0.435768
3 92 0.63525
3 185 0.669709
3 226 0.619211
3 346 0.426737
3 395 0.499841
3 424 0.354063
3 447 0.48171
3 494 0.51867
4 12 0.652663
4 13 0.590397
4 35 0.438573
4 38 0.681776
4 67 0.539092
4 68 0.372049
4 69 0.439947
4 71 0.604385
4 114 0.50557
4 280 0.641059
4 297 0.443882
4 299 0.605757
4 394 0.381543
4 481 0.484045
5 11 0.387967
5 22 0.458175
5 33 0.356156
5 41 0.593923
5 52 0.534137
5 68 0.63643
5 73 0.606918
5 76 0.695852
5 91 0.665594
5 141 0.669259
5 164 0.650141
5 211 0.61619
6 8 0.655912
6 9 0.441574
6 13 0.446884
6 19 0.329361
6 37 0.62751
6 44 0.571222
6 47 0.569904
6 53 0.57154
6 62 0.422469
6 68 0.514975
6 89 0.42003
6 242 0.617781
6 257 0.632557
6 309 0.518202
6 359 0.334259
6 409 0.383387
6 459 0.362654
6 462 0.420022
6 468 0.418035
7 16 0.40091
7 17 0.436327
7 23 0.445268
7 24 0.528985
7 29 0.636621
7 35 0.608817
7 41 0.389795
7 65 0.436177
7 78 0.692722
7 190 0.424287
7 342 0.441408
7 343 0.389751
7 354 0.580954
8 11 0.646772
8 26 0.480873
8 40 0.486625
8 42 0.528785
8 43 0.447389
8 64 0.301564
8 88 0.340745
8 94 0.388483
8 98 0.645374
8 148 0.691678
8 305 0.519868
8 397 0.438113
8 431 0.688897
8 446 0.571462
9 18 0.376126
9 25 0.398065
9 29 0.458378
9 48 0.58964
9 50 0.594015
9 70 0.562776
9 90 0.605048
9 97 0.435861
9 101 0.698914
9 339 0.652478
9 393 0.51716
10 20 0.317378
10 23 0.560631
10 24 0.427066
10 29 0.606568
10 34 0.359382
10 46 0.357265
10 54 0.695753
10 56 0.444414
10 58 0.494252
10 84 0.683743
10 89 0.314255
10 340 0.349683
